ImageName,VietnameseName,Price
834.jpg,THỊT DẢI LỢN NƯỚNG MUỐI ỚT,175
834.jpg,GRILLED PORK STRIPS WITH CHEF'S SPECIAL CHILI SAUCE,NOT GIVEN
834.jpg,THỊT DẢI LỢN NƯỚNG TỎI,175
834.jpg,GRILLED PORK STRIPS WITH CHILLI AND GARLIC SAUCE,NOT GIVEN
834.jpg,SƯỜN CHIÊN XÌ DẦU KIỂU HỒNG KÔNG,275
834.jpg,DEEP FRIED SPARE RIBS WITH LIGHT SOYA SAUCE & SPRING ONION,NOT GIVEN
834.jpg,SƯỜN CHIÊN VỊ TỎI,275
834.jpg,FRIED PORK SPARE RIBS WITH GARLIC,NOT GIVEN
834.jpg,SƯỜN NON CHIÊN MUỐI TÔM,275
834.jpg,DEEP FRIED PORK SPARE RIBS WITH SHRIMP SALT CHEF STYLE,NOT GIVEN
834.jpg,CHÂN GIÒ CHIÊN MẮM,285
834.jpg,DEEP FRIED PORK LEG WITH LIGHT CHILI & FISH SAUCE,NOT GIVEN
834.jpg,LỢN NƯỚNG KIỂU SPARTA (ĐẶC BIỆT),295
834.jpg,GRILLED PORK KNUCKLE WITH VEGETABLES SPARTA STYLE,NOT GIVEN
834.jpg,SƯỜN NON NƯỚNG MUỐI ỚT,335
834.jpg,GRILLED PORK SPARE RIBS WITH SPECIAL CHILLI SAUCE,NOT GIVEN
834.jpg,SƯỜN NƯỚNG SỐT BBQ,335
834.jpg,GRILLED BBO PORK SPARE RIBS,NOT GIVEN
834.jpg,CHÂN GIÒ HẦM KIỂU ĐỨC,365
834.jpg,STEWED PORK LEG WITH CREAM & FRESH MILK GERMAN STYLE,NOT GIVEN
834.jpg,CHÂN GIÒ HẦM HÔNG ĐÔNG TRÙNG HẠ THẢO,550
834.jpg,BRAISED PORK LEG WITH CORDYCEPS FLOWER & CHINESE HERBS,NOT GIVEN
834.jpg,MỰC CHIÊN BƠ TỎI,255
834.jpg,DEEP FRIED SQUID WITH GARLC AND BUITTER,NOT GIVEN
834.jpg,MỰC CHIÊN XÙ,255
834.jpg,DEEP FRIED SQUID WITH BREAD CRUMBS,NOT GIVEN
834.jpg,MỰC XÔI XÔNG HƠI,375
834.jpg,SQULD SAUNG,NOT GIVEN
834.jpg,MỰC XÔI HẤP THÁI,375
834.jpg,DOUBLES STEAMED SQULD WITH TOMYUM SAUCE,NOT GIVEN
834.jpg,MỰC MỘT NẮNG CHIÊN GIÒN,455
834.jpg,DEEP FRIED CRISPY SUNNY SQURID,NOT GIVEN
834.jpg,MỰC MỘT NĂNG NƯỚNG MỌI,455
834.jpg,GRILLED SUNNY SQUID,NOT GIVEN
834.jpg,MỰC MỘT NĂNG NƯỚNG MUỐI ỚT,455
834.jpg,GRILLED SUNNY SQUD WITH CHEF'S SPECLAL CHILLI SAUCE,NOT GIVEN
834.jpg,MỰC MỘT NẮNG CHIÊN MẮM,455
834.jpg,STIR-FRIED SUNNY SQUID WITH CHEF'S SPECLAL LIGHT FISH SAUCE,NOT GIVEN
834.jpg,"HẢI SẢN THUYỀN CHÀI (MỰC, TÔM SÚ, CÁ CHÌNH)",655
834.jpg,"MIXED PAN-FRIED AND SAUTEED SEAFOOD (SQUID, FIGER PRAWN, EEL FISH)",NOT GIVEN
834.jpg,"HẢI SẢN NƯỚNG TỔNG HỢP (MỰC, TÔM SÚ, CÁ CHÌNH)",655
834.jpg,"MIXED GRILLED SEDFOOD WITH LIGHT CHILL SAUCE (SQUID, TIGER PRAWN, EEL FISH)",NOT GIVEN
